Value,Count,ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,T_TEXTURE,DRAINAGE,REF_DEPTH,AWC_CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD_PROP,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CEC_CLAY,T_CEC_SOIL,T_BS,T_TEB,T_CACO3,T_CASO4,T_ESP,T_ECE,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_REF_BULK_DENSITY,S_OC,S_PH_H2O,S_CEC_CLAY,S_CEC_SOIL,S_BS,S_TEB,S_CACO3,S_CASO4,S_ESP,S_ECE
11844,200,11844,11036,14201,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11845,300,11845,11037,14202,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11846,100,11846,11038,14203,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11847,100,11847,11039,14204,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11848,200,11848,11040,14205,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11849,100,11849,11041,14208,0,1,100,1,,0,,0,CMc,65,1,5,100,3,0,0,0,0,0,0,5,76,12,12,11,1.55,0.36,8.2,37,10,97,8.4,3,0,7,0.2,9,70,14,16,11,1.5,0.34,8,36,22,84,7.9,5.5,0,4,0.4
11851,300,11851,11043,14210,0,1,100,1,,0,,0,CMc,65,1,5,100,6,18,0,0,0,0,0,5,76,12,12,11,1.55,0.36,8.2,37,10,97,8.4,3,0,7,0.2,9,70,14,16,11,1.5,0.34,8,36,22,84,7.9,5.5,0,4,0.4
11852,100,11852,11044,14211,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11853,400,11853,11045,14212,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11854,500,11854,11046,14213,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
